source_entity,source_geometry,target_entity,target_geometry,corpus,relation_type,relation_label,explanation,ambiguity_level
Borough of Staten Island,Polygon,Richmond County,Polygon,The island footprint of the Borough of Staten Island maps identically to the boundaries of Richmond County.,topological,equals,A borough and a county sharing the precise same coordinates.,Level 1
Vatican City,Polygon,Holy See Territory,Polygon,The physical masonry walls that define Vatican City map flawlessly to the sovereign territorial limits of the Holy See.,topological,equals,Physical architectural polygon maps exactly 1:1 with international legal polygon.,Level 1
City of Washington,Polygon,District of Columbia,Polygon,The municipal government of the City of Washington is geographically coextensive with the federal District of Columbia.,topological,equals,The city polygon and the district polygon are legally and geographically identical.,Level 1
City of San Francisco,Polygon,San Francisco County,Polygon,"The city operates as a consolidated city-county, possessing matching municipal and county boundaries.",topological,equals,The city polygon and the county polygon are geometrically identical.,Level 1
Borough of Brooklyn,Polygon,Kings County,Polygon,The New York City borough of Brooklyn shares the exact same land area as the jurisdiction of Kings County.,topological,equals,A borough and a county mapping to an identical set of geometric coordinates.,Level 1
Borough of Manhattan,Polygon,New York County,Polygon,The island borough and the county share an identical jurisdictional map.,topological,equals,A borough and a county with perfectly matching boundaries.,Level 1
City of Washington,Polygon,District of Columbia,Polygon,The municipal government is geographically synonymous with the federal District of Columbia.,topological,equals,The city polygon and the district polygon are legally and geometrically the same.,Level 1
City of Broomfield,Polygon,Broomfield County,Polygon,"The municipal incorporation acts as both the city and the county, possessing the exact same geographic perimeter.",topological,equals,A consolidated jurisdiction where city and county are the same entity.,Level 1
Borough of The Bronx,Polygon,Bronx County,Polygon,The political map of the Borough of The Bronx is entirely coextensive with Bronx County.,topological,equals,Two semantic labels resolving to the exact same polygon.,Level 1
City of Baltimore,Polygon,Independent City of Baltimore,Polygon,"Because it operates outside of any county, the City of Baltimore shares the exact same map footprint as the Independent City legal entity.",topological,equals,Two legal definitions for the exact same physical polygon.,Level 1
City of St. Louis,Polygon,Independent City of St. Louis,Polygon,The municipal limits of St. Louis represent the exact same geographical footprint as its independent county-level equivalent.,topological,equals,Identical mapping for city and independent-county status.,Level 1
City of Carson City,Polygon,Consolidated Municipality of Carson City,Polygon,The borders drawn for Carson City perfectly mirror the borders of the Consolidated Municipality.,topological,equals,Consolidated government footprints that match exactly.,Level 1
City of Alexandria,Polygon,Independent City of Alexandria,Polygon,The geographic boundaries defining the City of Alexandria are identical to the independent municipal area.,topological,equals,Two distinct levels of civic administration mapping to identical coordinates.,Level 1
Borough of The Bronx,Polygon,Bronx County,Polygon,The political map of the Borough of The Bronx is entirely synonymous with Bronx County.,topological,equals,Two semantic labels resolving to the exact same polygon.,Level 1
City of Baltimore,Polygon,Independent City of Baltimore,Polygon,"Because it operates outside of any county, the city shares the exact same map footprint as the independent city legal entity.",topological,equals,Two legal definitions for the exact same physical polygon.,Level 1
City of Carson City,Polygon,Consolidated Municipality of Carson City,Polygon,The borders drawn for Carson City perfectly mirror the borders of the consolidated municipality.,topological,equals,Consolidated government footprints that match exactly.,Level 1
City of Alexandria,Polygon,Independent City of Alexandria,Polygon,The geographic boundaries defining the city are identical to the independent municipal area.,topological,equals,Two distinct levels of civic administration mapping to identical coordinates.,Level 1
Principality of Monaco,Polygon,City of Monaco,Polygon,The sovereign microstate and its single integrated municipality are entirely synonymous in their territorial extent.,topological,equals,A national polygon and a city polygon that are perfectly identical.,Level 1
City of Juneau,Polygon,Juneau Borough,Polygon,The municipal government and the regional borough govern the identical landmass.,topological,equals,Two administrative layers mapping to the exact same perimeter.,Level 1
City of Jacksonville,Polygon,Duval County,Polygon,"The consolidated government covers the entire county area, creating a perfectly mirrored geographic map.",topological,equals,A city and county that share a single territorial perimeter.,Level 1
City of Nashville,Polygon,Davidson County,Polygon,The consolidated metropolitan government oversees the entire county territory as one single geographic entity.,topological,equals,The metro government and county jurisdiction share a perfectly synonymous footprint.,Level 1
City of San Francisco,Polygon,San Francisco County,Polygon,"San Francisco operates as a consolidated city-county, possessing matching municipal and county boundaries.",topological,equals,The city polygon and the county polygon are geometrically identical.,Level 2
City of Washington,Polygon,District of Columbia,Polygon,"The municipal government of the City of Washington is coextensive with the federal District of Columbia, sharing the exact same geographic boundary.",topological,equals,The city polygon and the district polygon are legally and geographically identical.,Level 2
City of Denver,Polygon,Denver County,Polygon,"In Colorado, the municipal limits of the City of Denver perfectly match the administrative footprint of Denver County.",topological,equals,A consolidated city-county where two distinct administrative levels map identically.,Level 2
Vatican City,Polygon,Holy See Territory,Polygon,The physical masonry walls that define Vatican City map perfectly to the sovereign territorial limits of the Holy See.,topological,equals,Physical architectural polygon maps exactly 1:1 with international legal polygon.,Level 2
Borough of Brooklyn,Polygon,Kings County,Polygon,"The borough and the county share the exact same geographical footprint down to the inch, covering identical neighborhoods.",topological,equals,A borough and a county mapping to an identical set of geometric coordinates.,Level 2
